species,muscle,strand,lmt0,ox,oy,oz,ix,iy,iz
m_fascicularis,masseter,m_masseter_01,22.36788559,44.36893082,49.27860641,25.86292458,41.97186661,29.42640686,15.83962345
m_fascicularis,masseter,m_masseter_02,27.57982063,54.68237305,47.9429245,25.48177338,48.87497711,23.87693405,13.32657814
m_fascicularis,masseter,m_masseter_03,25.79885101,65.89229584,47.73226547,19.12090111,58.17721558,24.00762558,12.54825497
m_fascicularis,pterygoid_medial,m_pterygoid_medial_01,19.11266708,47.36758041,49.73299026,5.733052254,41.28682327,35.01803589,16.30606461
m_fascicularis,pterygoid_medial,m_pterygoid_medial_02,27.52967072,50.57780457,50.21185303,5.111978531,48.50669098,23.64990234,12.04422474
m_fascicularis,pterygoid_medial,m_pterygoid_medial_03,24.62030411,53.71339035,47.27251434,5.373227119,60.7714653,23.86355209,8.265192986
m_fascicularis,temporalis,m_temporalis_01,32.59491348,57.44370651,74.69805908,19.45636559,55.75318146,42.26560211,16.68034172
m_fascicularis,temporalis,m_temporalis_02,22.04314232,43.8447113,70.03134918,25.18488693,53.63845825,50.61203766,21.59698868
m_fascicularis,temporalis,m_temporalis_03,20.34383774,34.25031662,57.43387222,25.77659607,51.12491226,47.77720642,19.78755569
m_murinus,masseter,m_masseter_01,6.615745068,8.972499847,10.0017004,9.525830269,7.996880054,4.184299946,6.530149937
m_murinus,masseter,m_masseter_02,6.111708164,18.69120598,9.153291702,7.771196365,16.03872681,4.599180222,4.676459789
m_murinus,masseter,m_masseter_03,8.297923088,14.43970013,10.40799999,10.70680046,12.24540043,4.488969803,5.321109772
m_murinus,pterygoid_medial,m_pterygoid_medial_01,7.211548805,12.08944225,10.8214674,1.98332417,11.50773716,4.199563026,4.779471397
m_murinus,pterygoid_medial,m_pterygoid_medial_02,7.194214344,9.982281685,10.35372543,2.883378983,8.24225235,4.05118227,5.884540558
m_murinus,pterygoid_medial,m_pterygoid_medial_03,4.893588543,13.9481287,9.08698082,2.828199863,14.78905869,4.392921448,3.926313877
m_murinus,temporalis,m_temporalis_01,7.227953434,4.46821928,13.14751816,8.941587448,11.09425068,10.61505222,7.553915501
m_murinus,temporalis,m_temporalis_02,7.879658222,5.433874607,17.73279953,8.030166626,11.91403103,13.33561897,8.902741432
m_murinus,temporalis,m_temporalis_03,10.85098362,11.96753311,18.51875114,6.91075325,15.90808392,8.534767151,5.318281174
